instance,node_count,edge_count,terminal_count,time
1,53,80,4,1
2,2500,3125,5,5
3,2500,5000,5,6
4,2500,12500,5,7
5,2500,62500,5,18
6,55,82,6,1
7,157,266,6,1
8,307,526,6,2
9,57,84,8,2
10,64,288,8,2
11,64,288,8,2
12,160,269,9,5
13,640,960,9,17
14,640,960,9,17
15,640,960,9,18
16,640,960,9,18
17,640,960,9,17
18,640,4135,9,22
19,640,4135,9,22
20,640,4135,9,22
21,640,4135,9,22
22,640,4135,9,22
23,640,204480,9,122
24,640,204480,9,123
25,640,204480,9,127
26,640,204480,9,121
27,90,135,10,4
28,169,280,10,8
29,179,293,10,7
30,286,465,10,14
31,298,503,10,13
32,311,530,10,16
33,331,560,10,17
34,541,906,10,24
35,609,932,10,28
36,632,1087,10,29
37,777,1239,10,36
38,816,1460,10,45
39,875,1522,10,36
40,957,1554,10,43
41,898,1562,10,37
42,938,1655,10,41
43,918,1684,10,42
44,1080,2015,10,43
45,1290,2270,10,58
46,2500,3125,10,145
47,2500,5000,10,159
48,3023,5575,10,137
49,3221,5938,10,148
50,5181,8893,10,264
51,2500,12500,10,170
52,2500,62500,10,281
53,128,227,11,11
54,123,233,11,12
55,191,302,11,16
56,212,381,11,19
57,237,390,11,21
58,317,476,11,27
59,278,478,11,24
60,338,541,11,30
61,353,608,11,32
62,402,695,11,37
63,572,963,11,56
64,663,1154,11,62
65,720,1269,11,65
66,921,1558,11,87
67,3675,6709,11,512
68,84,149,12,12
69,64,192,12,14
70,64,192,12,13
71,233,386,12,43
72,313,532,12,76
73,386,653,12,72
74,539,985,12,97
75,818,1462,12,209
76,1704,2991,12,355
77,1981,3633,12,546
78,3031,5239,12,626
79,4045,7094,12,845
80,4221,7255,12,906
81,110,188,13,41
82,339,579,13,132
83,346,583,13,155
84,311,613,13,141
85,125,750,13,59
86,125,750,13,71
87,125,750,13,60
88,777,1358,13,354
89,933,1632,13,396
90,1128,1905,13,526
91,1359,2458,13,610
92,128,247,14,104
93,165,274,14,173
94,145,283,14,142
95,418,723,14,423
96,468,822,14,453
97,1196,2084,14,1257
98,138,257,15,267
99,193,369,15,457
100,204,374,16,1241
101,311,579,16,1918
102,391,666,16,2463
103,402,690,16,2504
104,499,861,16,3123
105,712,1217,16,4557
106,52,1326,16,475
107,837,1438,16,5391
108,822,1466,16,5920
109,1051,1791,16,6791
110,1442,2403,16,9406
111,1848,3286,16,11730
112,2961,5100,16,19003
113,6405,10454,16,42743
114,7998,14734,16,63774
115,122,194,17,1922
116,177,354,17,2569
117,220,374,17,3384
118,223,404,17,3692
119,310,514,17,5205
120,342,552,17,5726
121,343,559,17,5810
122,429,702,17,7158
123,2039,3548,17,35162
124,2333,4137,17,39742
125,211,380,18,9832
126,1005,1731,18,46637
127,1709,2963,18,78310
128,2050,3676,18,93050
129,3738,7013,18,170412
130,119,206,19,15755
131,189,353,19,26088
132,245,454,20,105323
133,321,540,20,138801
134,1989,3641,20,769586
135,3683,6717,20,2077
136,237,444,21,313226
137,529,1032,21,649574
138,735,1256,21,868465
139,770,1383,21,905475
140,4640,8255,21,1822
141,233,431,22,967066
142,294,568,22,1183435
143,828,1472,22,1832
144,4186,7074,22,680
